ID_0,ISO_0,NAME_0,ID_1,NAME_1,NL_NAME_1,VARNAME_1,TYPE_1,ENGTYPE_1,ISO_1,OKATO,OKTMO,GOST,cartodb_id,created_at,updated_at,name_latin
186,RUS,Russia,10,Buryat,Республика Бурятия,ДФО,республика,Republic,RU-BU,81,81,RU-BU|RU-BUR,10,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Republic of Buryatia
186,RUS,Russia,28,Karachay-Cherkess,Карачаево-Черкесская Республика,СКФО,республика,Republic,RU-KC,91,91,RU-KK|RU-KAO,13,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Karachay-Cherkess Republic
186,RUS,Russia,66,Sakhalin,Сахалинская область,ДФО,область,Region,RU-SAK,64,64,RU-SAK,11,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Sakhalin Oblast
186,RUS,Russia,86,Voronezh,Воронежская область,ЦФО,область,Region,RU-VOR,20,20,RU-VOR,16,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Voronezh Oblast
186,RUS,Russia,75,Tomsk,Томская область,СФО,область,Region,RU-TOM,69,69,RU-TOM,18,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Tomsk Oblast
186,RUS,Russia,55,Novosibirsk,Новосибирская область,СФО,область,Region,RU-NVS,50,50,RU-NVS,19,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Novosibirsk Oblast
186,RUS,Russia,51,Nenets,Ненецкий автономный округ,СЗФО,автономный округ,Autonomous Province,RU-NEN,111,118,RU-NEN,3,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Nenets Autonomous Okrug
186,RUS,Russia,61,Primor'ye,Приморский край,ДФО,край,Territory,RU-PRI,05,05,RU-PRI,12,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Primorsky Krai
186,RUS,Russia,70,Stavropol',Ставропольский край,СКФО,край,Territory,RU-STA,07,07,RU-STA,15,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Stavropol Krai
186,RUS,Russia,3,Altay,Алтайский край,СФО,край,Territory,RU-ALT,01,01,RU-ALT,17,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Altai Krai
